drug_id,smiles
D00071,CCc1nc2ccccc2c(C(=O)OCC(=O)Nc2ccc(C)c(Cl)c2)c1C
D00072,CCc1nc2ccccc2c(C(=O)OCC(=O)Nc2cc(Cl)ccc2C#N)c1C
D00086,O=C(O)CCCCC1CCSS1
D00088,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
D00087,CC(C)C[C@@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(=O)O
D00089,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](N)CSSC[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O
D00091,COc1cc(C=O)ccc1O
D00093,*O[C@@H]1O[C@H](CO)[C@@H](*)[C@H](O)[C@H]1O
D00094,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1
D00095,CNC[C@H](O)c1ccc(O)c(O)c1
D00096,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO
D00097,O=C(O)c1ccccc1O
D00098,CC12CCC(CC1=O)C2(C)C
D00099,CCCCCCCCCCCCCCCCO
D00100,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC1=C(C)C(=O)c2ccccc2C1=O
D00102,[N-]=[N+]=O
D00103,O=C(O)[C@H](O)[C@@H](O)C(=O)O
D00104,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
D00085,CCc1nc2ccccc2c(C(=O)OCC(=O)Nc2ccccc2[C@@H](C)CC)c1C
D00105,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
D00106,CCCCC[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)O[C@H]2C[C@H]1O
D00107,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC.O
D00090,CCCCc1ccc(C(=O)COC(=O)c2c(C)c(CC)nc3ccccc23)cc1
D00092,CCc1nc2ccccc2c(C(=O)OCC(=O)N2C[C@@]3(C)C[C@H]2CC(C)(C)C3)c1C
D00108,II
D00109,CC(=O)Oc1ccccc1C(=O)O
D00110,COC(=O)[C@H]1C(OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C
D00111,CC(O)C(=O)O
D00112,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O.O.O.O.O.O.O.O.O
D00113,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2
D00114,O=C(CO)[C@@H](O)[C@H](O)[C@H](O)CO
D00117,COc1ccccc1O
D00118,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1
D00119,CCCCCCCCCCCCCCCCCC(=O)O
D00120,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)=O)cc1
D00101,CCOc1ccc(C(=O)[C@H](C)OC(=O)c2c(C)c(CC)nc3ccccc23)cc1
D00121,NC(=O)NC1NC(=O)NC1=O
D00122,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12.O
D00123,N#CN
D00124,CN[C@@H](C)[C@H](O)c1ccccc1
D00125,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O
D00126,CC(C)Cc1ccc(C(C)C(=O)O)cc1
D00127,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O
